USER_LOAN_RANK,CREDIT_SCORE
1,0.6178040932603643
2,0.8275666805584496
3,0.8523816910526997
4,0.8604858229486971
5,0.8641953084959589
6,0.8661996550024642
7,0.8663478260869565
8,0.8654915013103707
9,0.8656157281553398
10,0.8639237410071942
11,0.8636660753880265
12,0.8639288640595904
13,0.8623638613861385
14,0.8612678939617083
15,0.8584744801512287
16,0.8569596899224806
17,0.8521724137931035
18,0.850475352112676
19,0.8475907608695653
20,0.8485426573426573
21,0.8561732673267327
22,0.8467255319148936
23,0.8421494382022472
24,0.8326254901960785
25,0.8402553571428572
26,0.8302512195121952
27,0.8236136363636363
28,0.8477
29,0.8218559999999999
30,0.8288650000000001
31,0.8295052631578947
32,0.8184714285714286
33,0.8249416666666667
34,0.819825
35,0.8324
36,0.8568833333333333
37,0.8156599999999999
38,0.821325
39,0.8307666666666668
40,0.7764000000000001
41,0.80848
43,0.8655
44,0.7636499999999999
45,0.8184999999999999
46,0.6811
47,0.8203
48,0.8085
49,0.841
51,0.8425
53,0.7597
54,0.7992
74,0.8116
487,0.7832
